train_team,SIPD/AlwaysCooperate-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysDefect-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/ExtortionateZD-Default-v0,SIPD/TitForTat-Default-v0,SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/WinStayLoseSwitch-Default-v0,SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0
SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0,0.005,0.0018000000000000002,0.002,0.002,0.003,0.003,0.005,0.002,0.003,0.0048000000000000004,0.005,0.005,0.005,0.005,0.005,0.005,-0.0002,0.0028,0.003,0.005,0.005,0.005,0.003,0.005,0.005,0.005,0.0048000000000000004,0.005,0.005,0.005,0.0048000000000000004
SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,0.0,-0.003,-0.005,-0.003,-0.004,-0.002,-0.002,-0.003,-0.004,-0.003,0.0,-0.002,0.0,-0.002,0.0,-0.002,-0.005,-0.005,-0.002,-0.002,0.0,-0.002,-0.002,-0.002,-0.005,0.0,-0.003,0.0,-0.002,0.0,-0.003
SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,0.005,0.0014,0.002,0.002,0.003,0.003,0.005,0.002,0.003,0.004399999999999999,0.005,0.005,0.005,0.005,0.005,0.005,-0.0006000000000000001,0.0024000000000000002,0.003,0.005,0.005,0.005,0.003,0.005,0.005,0.005,0.004399999999999999,0.005,0.005,0.005,0.004399999999999999
SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,0.0021999999999999997,-0.0012000000000000001,-0.0028,-0.001,-0.002,-0.0006000000000000001,-0.0002,-0.0014,-0.002,-0.0006000000000000001,0.0018000000000000002,-0.0002,0.0012000000000000001,-0.0002,0.0014,-0.0004,-0.0032,-0.0026000000000000003,-0.0002,-0.0002,0.0012000000000000001,-0.0002,-0.0006000000000000001,-0.0004,-0.0021999999999999997,0.0016,-0.0008,0.0012000000000000001,-0.0004,0.001,-0.001
SIPD/AlwaysCooperate-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,0.005,0.001,0.0006000000000000001,0.001,0.0018000000000000002,0.0026000000000000003,0.0038,0.0014,0.0018000000000000002,0.0038,0.0046,0.0038,0.0046,0.0038,0.005,0.004,-0.0014,0.0014,0.0021999999999999997,0.0038,0.0046,0.0038,0.0026000000000000003,0.004,0.0034000000000000002,0.004200000000000001,0.0034000000000000002,0.0046,0.004,0.0048000000000000004,0.0036000000000000003
SIPD/AlwaysCooperate-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,0.001,-0.002,-0.0036000000000000003,-0.002,-0.0026000000000000003,-0.001,-0.0006000000000000001,-0.002,-0.0026000000000000003,-0.0014,0.001,-0.0006000000000000001,0.001,-0.0006000000000000001,0.001,-0.0006000000000000001,-0.004,-0.0034000000000000002,-0.001,-0.0006000000000000001,0.001,-0.0006000000000000001,-0.001,-0.0006000000000000001,-0.003,0.001,-0.0014,0.001,-0.0006000000000000001,0.001,-0.0014
SIPD/AlwaysDefect-Default-v0,0.005,-0.001,-0.005,-0.0026000000000000003,-0.003,-0.0018000000000000002,-0.0012000000000000001,-0.0038,-0.004200000000000001,-0.001,0.0034000000000000002,0.0,0.0012000000000000001,-0.0012000000000000001,0.001,-0.0034000000000000002,-0.005,-0.005,-0.0006000000000000001,0.0,0.0012000000000000001,-0.0012000000000000001,-0.003,-0.0034000000000000002,-0.005,0.0024000000000000002,-0.002,0.0,-0.0034000000000000002,-0.0021999999999999997,-0.004200000000000001
SIPD/AlwaysDefect-Default-v0+SIPD/ExtortionateZD-Default-v0,0.005,-0.001,-0.005,-0.002,-0.003,-0.001,-0.0006000000000000001,-0.003,-0.0038,-0.001,0.004,0.0002,0.0021999999999999997,-0.0006000000000000001,0.0021999999999999997,-0.0018000000000000002,-0.005,-0.005,0.0,0.0002,0.0021999999999999997,-0.0006000000000000001,-0.0018000000000000002,-0.0018000000000000002,-0.005,0.0032,-0.0018000000000000002,0.0014,-0.0018000000000000002,0.0002,-0.003
SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0,0.0008,-0.003,-0.005,-0.003,-0.004,-0.0026000000000000003,-0.002,-0.0036000000000000003,-0.004,-0.003,0.0,-0.002,-0.0006000000000000001,-0.002,-0.0006000000000000001,-0.002,-0.005,-0.005,-0.002,-0.002,-0.0006000000000000001,-0.002,-0.0026000000000000003,-0.002,-0.005,0.0,-0.003,-0.0006000000000000001,-0.002,-0.0006000000000000001,-0.003
SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,0.004200000000000001,-0.0014,-0.005,-0.003,-0.0036000000000000003,-0.003,-0.0021999999999999997,-0.004399999999999999,-0.0046,-0.0014,0.002,-0.0012000000000000001,-0.0006000000000000001,-0.0021999999999999997,-0.0004,-0.004,-0.005,-0.005,-0.0016,-0.0012000000000000001,-0.0006000000000000001,-0.0021999999999999997,-0.004,-0.004,-0.005,0.0008,-0.0026000000000000003,-0.0016,-0.004,-0.0034000000000000002,-0.004399999999999999
SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,0.001,-0.0014,-0.0026000000000000003,-0.0014,-0.0018000000000000002,-0.0006000000000000001,-0.0002,-0.0014,-0.0018000000000000002,-0.0008,0.001,-0.0002,0.001,-0.0002,0.001,-0.0002,-0.003,-0.0024000000000000002,-0.0006000000000000001,-0.0002,0.001,-0.0002,-0.0006000000000000001,-0.0002,-0.002,0.001,-0.0008,0.001,-0.0002,0.001,-0.0008
SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,0.0008,-0.0028,-0.005,-0.003,-0.004,-0.002,-0.002,-0.003,-0.004,-0.0028,0.0002,-0.002,0.0,-0.002,0.0002,-0.0021999999999999997,-0.005,-0.005,-0.002,-0.002,0.0,-0.002,-0.002,-0.0021999999999999997,-0.005,0.0,-0.003,0.0,-0.0021999999999999997,-0.0002,-0.0032
SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,0.0024000000000000002,-0.0016,-0.004,-0.0018000000000000002,-0.003,-0.0012000000000000001,-0.0014,-0.0021999999999999997,-0.0034000000000000002,-0.0016,0.0016,-0.001,0.0008,-0.0014,0.0008,-0.002,-0.004,-0.004,-0.0008,-0.001,0.0008,-0.0014,-0.0016,-0.002,-0.004,0.0012000000000000001,-0.002,0.0004,-0.002,-0.0002,-0.0026000000000000003
SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,0.005,-0.001,-0.005,-0.0024000000000000002,-0.0034000000000000002,-0.0012000000000000001,-0.0014,-0.0028,-0.004200000000000001,-0.001,0.0032,-0.0006000000000000001,0.0016,-0.0014,0.002,-0.0024000000000000002,-0.005,-0.005,-0.0008,-0.0006000000000000001,0.0016,-0.0014,-0.002,-0.0024000000000000002,-0.005,0.002,-0.0021999999999999997,0.0008,-0.0024000000000000002,-0.0002,-0.0032
SIPD/ExtortionateZD-Default-v0,0.005,-0.001,-0.005,-0.0026000000000000003,-0.003,-0.0018000000000000002,-0.0012000000000000001,-0.0038,-0.004200000000000001,-0.001,0.0034000000000000002,0.0,0.0012000000000000001,-0.0012000000000000001,0.001,-0.003,-0.005,-0.005,-0.0006000000000000001,0.0,0.0012000000000000001,-0.0012000000000000001,-0.003,-0.003,-0.005,0.0024000000000000002,-0.002,0.0,-0.003,-0.0018000000000000002,-0.0038
SIPD/TitForTat-Default-v0,0.005,0.0016,0.002,0.002,0.003,0.003,0.005,0.002,0.003,0.0046,0.005,0.005,0.005,0.005,0.005,0.005,-0.0004,0.0026000000000000003,0.003,0.005,0.005,0.005,0.003,0.005,0.005,0.005,0.0046,0.005,0.005,0.005,0.0046
SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,0.0026000000000000003,-0.001,-0.0021999999999999997,-0.001,-0.0012000000000000001,-0.0004,0.0008,-0.0014,-0.0012000000000000001,0.0002,0.0021999999999999997,0.0008,0.0016,0.0008,0.0018000000000000002,0.0006000000000000001,-0.0032,-0.002,0.0,0.0008,0.0016,0.0008,-0.0004,0.0006000000000000001,-0.001,0.002,0.0,0.0016,0.0006000000000000001,0.0014,-0.0002
SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,0.005,0.0018000000000000002,0.002,0.002,0.003,0.003,0.005,0.002,0.003,0.0048000000000000004,0.005,0.005,0.005,0.005,0.005,0.005,-0.0002,0.0028,0.003,0.005,0.005,0.005,0.003,0.005,0.005,0.005,0.0048000000000000004,0.005,0.005,0.005,0.0048000000000000004
SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,0.003,0.0006000000000000001,0.0002,0.0006000000000000001,0.001,0.0014,0.0026000000000000003,0.0006000000000000001,0.001,0.0024000000000000002,0.003,0.0026000000000000003,0.003,0.0026000000000000003,0.003,0.0026000000000000003,-0.001,0.0008,0.0014,0.0026000000000000003,0.003,0.0026000000000000003,0.0014,0.0026000000000000003,0.002,0.003,0.0024000000000000002,0.003,0.0026000000000000003,0.003,0.0024000000000000002
SIPD/WinStayLoseSwitch-Default-v0,0.005,0.0002,-0.0021999999999999997,-0.0006000000000000001,-0.0006000000000000001,0.0018000000000000002,0.0018000000000000002,0.0002,-0.0006000000000000001,0.0018000000000000002,0.004200000000000001,0.0018000000000000002,0.004200000000000001,0.0018000000000000002,0.005,0.0024000000000000002,-0.003,-0.0014,0.001,0.0018000000000000002,0.004200000000000001,0.0018000000000000002,0.0018000000000000002,0.0024000000000000002,-0.0006000000000000001,0.0034000000000000002,0.001,0.004200000000000001,0.0024000000000000002,0.0048000000000000004,0.0016
SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,0.0036000000000000003,-0.001,-0.0036000000000000003,-0.0016,-0.0021999999999999997,-0.0014,-0.0002,-0.0028,-0.0026000000000000003,-0.0004,0.0028,0.0002,0.001,-0.0002,0.0012000000000000001,-0.0012000000000000001,-0.004,-0.0034000000000000002,-0.0002,0.0002,0.001,-0.0002,-0.0018000000000000002,-0.0012000000000000001,-0.003,0.0021999999999999997,-0.001,0.0006000000000000001,-0.0012000000000000001,-0.0004,-0.002
